,idx,smiles,set
85,14942,CC1(COP(=O)(OC1)OC2=CC=CC=C2)C,train
86,10272,CCC1=CC2=CC=CC=C2C3=CC=CC=C31,train
87,2280,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)O,train
88,15388,CC(C(C1=CC=CC=C1)OP(=O)(O)O)NC,train
89,2108,CC1=CC=CC=C1C(C)(C2=CC=CC=C2)OCCN(C)C,train
90,16112,CCN(C1=CC=C(C=C1)[N+](=O)[O-])C(=O)C,train
91,15863,C1=CC=C2C(=C1)C(=CN2)C(=O)C(=O)O,train
92,12779,CC(=O)OP1(=O)C(CC(CO1)(C)C)(C)O,train
93,11107,CC(=O)COC,train
94,9018,C1=CC=C2C(=C1)C=CC(=C2N)O,train
95,14442,C1=CC(=C(C(=C1)O)C(=O)O)C(=O)O,train
96,10019,CCCOCC1CO1,train
97,10739,CC1CCC(CC1S)C(C)CS,train
98,15919,CC(=O)C1(CC1)C,train
99,13755,C1=CC(=CC(=C1)OC2=CC(=CC=C2)OC3=CC=CC(=C3)N)N,train
100,1136,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C#N,train
101,142,C1=CC=C2C(=C1)C3=CC=CC4=CC(=CC2=C43)N,train
102,12103,CCOC1=CC=CC=C1C(=O)NCCCN,train
103,2468,CC1(CC(P(=O)(O1)C2=CC=CC=C2)(C)O)C,train
104,11267,C(SC#N)SC#N,train
105,3494,CCOC1=CC2=C(CNCC2)C=C1,train
106,3261,C1=CC(=CC2C1C(=O)C=C(O2)C(=O)O)O,train
107,4678,C(CC(=O)O)C(=O)O,train
108,7107,C#CCC1(CCCCC1)OC(=O)N,train
109,768,C1CN2CC(=O)NC3=C(C2C4=CC=CC=C41)C=C(C=C3)[N+](=O)[O-],train
110,14056,CCOC1=CC=CC=C1C(=O)O,train
111,10692,CC1=CC(=CC(=C1)C(C)C)C,train
112,14872,C1=C(OC(=C1)C=O)C=O,train
113,10397,CC(C1=CC=CC=C1)NNC(=O)C,train
114,4404,C(CN(C=O)O)CP(=O)(O)O,train
115,12157,CC1C(COC1C(=O)C)OC,train
116,10240,CC1CCC(C(C1)O)C(C)C,train
117,15441,CC=NC(C(C)O)C(=O)O,train
118,6706,C1=CC=C2C(=C1)C(=CC(=C2N)O)S(=O)(=O)O,train
119,4145,C(C(C(CO)O)O)C(=O)C(=O)O,train
120,13597,C1=CC=C2C(=C1)C(=O)OS2(=O)=O,train
121,11940,CCC(C#N)C(=O)N,train
122,1569,CC1=C2C=COC2=C(C=C1)C,train
123,9238,CSCSC,train
124,4066,CC1=CC(=O)C2=C(O1)C(=C(C=C2)O)CN3CCCCC3,train
125,927,C1CS(=O)(=O)NCN1CN2CCS(=O)(=O)NC2,train
126,13937,CC1=C(C=C(C=C1)CN)C,train
127,8572,CC1=C2C=CC3=CC=CC=C3C2=CC=C1,train
128,6988,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=NC=C4,train
129,12014,CCCN(C(CC)OO)N=O,train
130,11189,COC1=CC=CC=C1OS(=O)(=O)O,train
131,10494,C(C(=O)OC(=O)CN)N,train
132,2517,COC1=CC2=C(C=C1)OC(=O)N2,train
133,11674,CC(C1=CC=CC=C1)NC(C)C2=CC=CC=C2,train
134,10647,C1CSC(N1)C2=CC=CC=C2,train
135,4018,CCCC(CCC)C1(C(=O)NC(=O)NC1=O)CC,train
136,3161,CC(C)C1=CC=CC=C1OC(=O)N(C)N=O,train
137,3657,C1=CC2=C(C=C1N)C3=C(N2)C=CC(=C3)N,train
138,7711,CCCCCC(=O)C(=O)C,train
139,3908,CCC(=CCC1(C(=O)NC(=O)NC1=O)CC)CC,train
140,15491,C1=NC2=C(N=C(N=C2N1CC(CO)OCP(=O)(O)O)N)N,train
141,12301,CC1=C(C(=CC=C1)CC2=CN=CN2)C,train
142,4431,C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O,train
143,3460,CC1=C(C(=C(C=C1)C(C)C)OC(=O)N(C)C)N(C)C,train
144,9825,CCCC(C)C1=CC=CC=C1,train
145,16073,C=CCOC1=CC=CC=C1,train
146,10326,C1=CC=NC(=C1)CN,train
147,6358,C1COCCN1SSN2CCOCC2,train
148,4313,C(CC(C(=O)O)N)CN,train
149,598,CCN1C2=CC=CC=C2N=N1,train
150,13493,C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O,train
151,15480,C1=NC(=C2C(=N1)N(C=N2)C=C=CCO)N,train
152,13288,CC(C1=NC(=O)C2=CC=CC=C2N1)O,train
153,3035,CC(=O)NCC1=CC=C(C=C1)[N+](=O)[O-],train
154,12451,C1CCC(=NCC1)NC#N,train
155,3755,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,train
156,2095,CC(CC12CC3CC(C1)CC(C3)C2)N4CCCC4,train
157,1457,C1=CC2=C(C=C1O)C(=CS2)CC(C(=O)O)N,train
158,13055,CC(CC=O)SC,train
159,9091,CNCC(C1=CC(=CC=C1)NS(=O)(=O)C)O,train
160,10070,C(=CC(=O)C(=O)O)C=CO,train
161,16168,C1CCC(CC1)(CC2=CC=CC=C2)O,train
162,4734,CC(=C)C1CCC(=CC1)C(=O)O,train
163,380,CC(C)C(CCN(C)C)(C#N)C1=CC=C(C=C1)OC,train
164,888,C=CCC1(C2=CC=CC=C2N(C1=O)C3=CC=CC=C3)CC=C,train
165,10715,CCCCCN=C(N)N=C(N)N,train
166,8360,COC1=CC=C(C=C1)S,train
167,11006,C1COCCN1CN2CCOCC2,train
168,2916,CCN(CCCC(=O)O)N=O,train
169,13076,CCC=CCCCCCO,train
170,6199,CC(C)(C)C1=CC(=C(C=C1)O)O,train
171,3350,CN(C)CC1=C(C2CCC1CC2)C3=CC=CC=C3,train
172,3710,C1CC1C(=O)NCC(=O)O,train
173,6823,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2N,train
174,12056,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2C(C(C5C4O5)O)O,train
175,8576,COC(=O)C(=CC1=CC=C(O1)[N+](=O)[O-])C#N,train
176,5997,CCC1=CC=CC=C1O,train
177,5473,COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,train
178,8932,C1C(SSC1C(=O)O)C(=O)O,train
179,7235,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OC,train
180,16052,CCOC(C)(C)C1=CC=CC=C1,train
181,12893,C(C(CN)O)N,train
182,3284,C=CCN(CCCCO)N=O,train
183,18,C1CCC(C1)N=C(N)N=C(N)N,train
184,4250,C1=CC=C(C=C1)C(=O)O,train
185,4991,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,train
186,6591,COCOC,train
187,4967,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,train
188,11789,CC(CSC1=CC=CC=C1)NN,train
189,13081,C(CC(CC(=O)O)(C(=O)O)P(=O)(O)O)C(=O)O,train
190,2573,C(C(=O)O)OC(C(=O)O)C(=O)O,train
191,4726,CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O,train
192,556,C1=CC2=NON=C2C(=C1)[N+](=O)[O-],train
193,6698,C(C(CO)(CO)CO)O,train
194,11376,COC1=C(C2=C3C(CC4=CC=CC=C42)NCCC3=C1)O,train
195,11143,CC1(CCC(O1)C(C)(C)O)C=C,train
196,10796,CCN(CC)CC1=CC=CC=C1O,train
197,9237,CC1CCC2CC(CCC2C1)C,train
198,11115,CC1=NC=CN=C1C,train
199,5193,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-],train
200,14073,C1=CC(=CC(=C1)S(=O)(=O)O)NN,train
201,5508,CC1=CC(=C(C=C1OC(=O)C)C(C)C)O,train
202,9763,CC(N(C(C)O)C(C)O)O,train
203,8006,COC(=O)OC,train
204,8213,CCCCOCC,train
205,13818,COC1=CC=CC(=C1OC)C=O,train
206,10177,CC(=O)OCC=CCCCC=C,train
207,5118,CC1C(O1)P(=O)(O)O,train
208,13454,C(CN)CON,train
209,13469,CCOC(=N)C,train
210,9656,CC(C)C1=CC=C(C=C1)C(=C)C,train
211,10629,CN1CC2CCC1C2,train
212,547,CC(C)NC1=NC(=NC(=N1)N)NC(C)C,train
213,13407,CC(C(C)(C)C)N=C(NC#N)N=C1C=CN(C=C1)O,train
214,10549,COC(C=CC1=CC=CC=C1)OC,train
215,9196,CCOC(=O)C1=CC=NC=C1,train
216,1746,C1C(COC2=CC=CC=C2C(=N1)C3=CC=CC=N3)O,train
217,4022,CCSCC1(C(=O)NC(=O)N(C1=O)C)C(C)C,train
218,11931,C1C2=CC=CC=C2C3=CC=CC(=C31)CO,train
219,11168,CC(=CC(=O)O)CC1=CC=CC=C1,train
220,8354,CN1C=CC=CC1=O,train
221,12177,CCCC(C)C1SCCS1,train
222,461,CC(CC(C)(C)O)NNC(=O)C1=CC=CC=C1,train
223,6637,C1CCC=CC1,train
224,48,C1=CC=C2C(C3=CC=CC=C3C=CC2=C1)C(=O)N,train
225,2907,CCOC(=O)N(OC(=O)C)P(=O)(N1CC1)N2CC2,train
226,3505,CCC1(CC2CCC1C2)NC,train
227,14629,C1=CC(=O)NC(=C1)O,train
228,7479,CC1=CC=C(C=C1)NN,train
229,2607,CC(=O)C1=CC2=C(O1)C(=CC=C2)OC,train
230,9467,CC(C#C)(C(C1=CC=CC=C1)O)O,train
231,14611,CC1=CC=C(C=C1)NO,train
232,8820,CC(C)CC(C)C(C)C,train
233,13017,CCOCC1=CC(=C(C=C1)O)OC,train
234,10611,COCOCCO,train
235,1145,CC1=C(C(=NO1)C2=CC=C(O2)[N+](=O)[O-])C(=O)NC,train
236,1534,CC1CCCC2=CC=CC(=C12)C,train
237,11444,CCCC(=C(C)C)C,train
238,4024,CCCC1(C(=O)NC(=O)N(C1=O)C)CSCC,train
239,3895,CC(=CCC1(C(=O)NC(=O)NC1=O)CC=C(C)C)C,train
240,13723,CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],train
241,13905,CC(C)NCCN(C(C)C)C(C)C,train
242,9913,C1CC2(CCC(=O)NC2=O)C3=CC=CC=C3C1=O,train
243,8693,C1=C(C(=O)NC(=O)N1)N,train
244,7057,C1CCCCCCCCCCC1,train
245,8668,CCOC=CC,train
246,2365,C1=C(SSC1=N)N,train
247,12986,CC(C)C1=CC=C(C=C1)C(C)(C)C,train
248,10783,C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)N,train
249,12983,CC=CCCCO,train
250,15736,C1CC(C(C1)N)C(=O)O,train
251,2670,COC1=C(C(=C2CC(=NO)CCCC2=C1)OC)OC,train
252,7103,CCSCC,train
253,14364,CN(CO)C(S)S,train
254,10779,CCC1=CC(=CC=C1)C(C)C,train
255,8494,C1CCC(=CC1)C2=CC=CC=C2,train
256,12731,CN1CC2CCC1C(C2)O,train
257,10388,CCOC(=O)C(C)(C)C,train
258,9625,C1=CC2=C3C(=CC=C4C3=C1C=CC4=O)C(=O)C=C2,train
259,15709,C1=CC=C2C(=C1)C=CC(=N2)CO,train
260,7402,CC1=C(C(=CC=C1)O)C,train
261,8355,CCC1CCC(=O)O1,train
262,2421,CCCCC=CCCCCOC(=O)C,train
263,11223,CC1(CCO1)C,train
264,424,CC1(CN1P(=O)(N2CC2(C)C)N3CC3(C)C)C,train
265,9453,CCN1CCN(C1=O)C2=CC=CC=C2,train
266,13763,CN1C=NN=C1,train
267,11758,CCCCCOC(=O)C(C1=CC=CC=C1)N,train
268,13684,CC1COCO1,train
269,12274,CC(=C1CC2C(CC(=O)O2)(C(=O)C1)C)C,train
270,15744,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,train
271,1096,C1C2=C(CON1)C=C(C=C2)N,train
272,10339,CCC1CCCCC1O,train
273,4384,C(#N)O,train
274,2201,CC(C)C1=CC=CC=C1NC2=NCCO2,train
275,14444,CC1=C(C(=C(C=C1)[N+](=O)[O-])C)[N+](=O)[O-],train
276,4390,C(C(=CO)C=CC(=O)C(=O)O)C(=O)O,train
277,2585,CCC1=C(C(=CC=C1)CC)CC,train
278,8541,CC1=NC(=NC(=N1)C)C,train
279,223,CN(C)CCOC1=CC=CC=C1,train
280,6201,CC1=C(C=CC(=C1)S(=O)(=O)O)N,train
281,3884,CC(=C)C1(C(=O)NC(=O)NC1=O)CC=C,train
282,11687,CCC(C)N,train
283,12164,CNCC1C2=CC=CC=C2CSC3=CC=CC=C13,train
284,11020,CC1=CC2=C(C=C1)OC(=N2)C,train
285,6239,CC1=CCC(CC1=O)C(=C)C,train
286,230,C1C(C1N)C2=CC=CC=C2,train
287,2124,C1=CC=C(C=C1)C(=O)OO[N+](=O)[O-],train
288,10736,COCCCCCO,train
289,6511,C(C(=O)N)C(=O)N,train
290,2641,CC=C(CO)O,train
291,579,CC(=O)OCC1=C2C=CC=CC2=CC3=CC=CC=C31,train
292,5603,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,train
293,5858,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)S(=O)(=O)O,train
294,14462,C1=CC(=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],train
295,1985,CCNC1=NC(=O)N=C(N1)C,train
296,16026,CCC1=CC(=C(C=C1)C)O,train
297,13079,CC1=CC=CC=C1OC(=O)C(C)C,train
298,5280,CC1=C(C(=O)NC1(C)O)C(=O)C,train
299,578,CC1=NOC(=O)C1=CC2=CC=CC=C2,train
300,8242,CCN(CC)C(=O)N,train
301,2310,CC1=C(C=C(O1)COC)C(=O)OC,train
302,6639,C1OCOCO1,train
303,3459,CCN(CC)CC1=CC=CC=C1OC(=O)N(C)C,train
304,6367,C1=CC=C(C=C1)NC=O,train
305,5006,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,train
306,643,C1=CC(=C(N=C1)N)O,train
307,11570,CCCCC(=CC1=CC=CC=C1)C=O,train
308,13198,CC(C)CCC(=O)CCC(C)C,train
309,1700,CCNC1=NC(=NC(=N1)C)NC(C)(C)C,train
310,13550,CC1CCC2(O1)C(CCCC2(C)O)(C)C,train
311,4447,CC(=O)C(=O)C,train
312,8881,C=CS(=O)C=C,train
313,3256,CCOCC(OCC)OCC,train
314,2702,CCCCOC(=O)C(C1=CC=CC=C1)N,train
315,14663,C1=CC(=C(C(=C1)O)N)O,train
316,3126,CC1C(=CC2=C(O1)C(=CC=C2)OC)C#N,train
317,1290,CCC1(COC(OC1)C)C(C)OC,train
318,952,CC(C)C(C)CO,train
319,7261,C1=CC=C(C=C1)C(=O)NO,train
320,321,CCCN(CCN=C(N)N)C1CCCCC1,train
321,14041,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C(=C3N)O)O)N,train
322,10952,CC1=CC=C(C=C1)N=NC(C#N)C#N,train
323,8808,CCOP(=O)(OCC)OP(OC)OC,train
324,3030,CCCC(C)(CCC(C)C)N,train
325,7620,CCC(C(C)C)O,train
326,664,CC1C2=CC=CC=C2C3=CC=CC(=C13)C,train
327,15079,CC1=CNC(=O)C=C1,train
328,2343,CNCC1=CC=CC2=C1C(=C)C3=CC=CC=C3CC2,train
329,10954,CC(=O)NC(C)(C)CC(C)(C)C,train
330,9971,CC(C)NNC(=O)C1=CN=CC=C1,train
331,15851,CC(C)(C)N1CCC(=O)CC1,train
332,4139,C(=CC(=O)O)C=C(C(=O)O)N,train
333,4608,O,train
334,15747,CC1CNCCN1C(=S)S,train
335,12840,C1CC(OC=C1)C=O,train
336,1921,CC(C)(C)C(=O)C1=CC(=C(C=C1)OC)OC,train
337,4273,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,train
338,10992,CC1=CC=C(N1NC(=O)C2=CC=NC=C2)C,train
339,536,CC(C)CCCC(C)N(C)C1CC1,train
340,13255,CCC(C)(CCC(C)C)C(=O)O,train
341,4831,C(CCP(=O)(O)O)CN,train
342,3964,CC(C(C1=CC=CC=C1O)O)N,train
343,15679,NP1(=NP(=NP(=N1)(N)N)(N)N)N,train
344,5174,C(=O)(N)NO,train
345,7236,CC1CCC2C1C3C(C3(C)C)CCC2=C,train
346,1373,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O,train
347,4755,C1CCC(CC1)(C(=O)O)N,train
348,7081,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,train
349,15300,CC1=CC2=CC=CC=C2S1,train
350,16208,CC1=CC(=C(C=C1C)C(=O)C)C,train
351,10470,CC(=O)OC12C=CC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,train
352,9828,C1=CC=C(C=C1)COC(=S)S,train
353,6525,CC1=CC(=CC=C1)C,train
354,9429,C1C(O1)COCCOCCOCCOCC2CO2,train
355,7994,CC1=NC2=CC=CC=C2N1,train
356,15445,C1CC(=O)N2C1CCC2=O,train
357,14035,C1CSCCN1,train
358,14474,CC1=C(C=CC(=C1C)O)O,train
359,2176,CC1=CC(=CC=C1)OC(=O)N,train
360,6139,CC1=CC(=C(C=C1)O)N,train
361,1187,CC(CC1=CC(=C(C(=C1)OC)OC)OC)N,train
362,6088,CC1=CC(=C(C=C1)O)OC,train
363,4412,C(C(C(=O)O)N)SSCC(C(=O)O)N,train
364,15378,CN1CC(=O)N=C1NP(=O)(O)O,train
365,11501,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O,train
366,15727,C1=C(C(=O)NC(=N1)[O-])[N+]#N,train
367,13037,CC1=CN=C(C=N1)C(C)C,train
368,9177,CC(C)CC1=CC=C(C=C1)CC(=O)O,train
369,9418,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,train
370,8862,C1CCC2=C(C1)C3=C(N2)C=CC(=C3)N,train
371,9125,C1CC1C(C2=CC=CC=C2)(C(=O)O)O,train
372,4977,CNCCC1=CC=CC=N1,train
373,9999,COC1=CC(=CC(=C1OC)OC)C(=O)N,train
374,14106,C1=CC=C2C(=C1)N=CC3=CC=CN32,train
375,5114,CC1=CNN=C1,train
376,6733,C1=CC2=C(C=C(C=C2)S(=O)(=O)O)C(=C1)N,train
377,5804,CC(C)C(C)C,train
378,11701,CCOC(=O)C1CC2CC1C=C2,train
379,14228,CC(=CCC(=O)O)C,train
380,9807,C1=CC(=CC=C1O)SC2=CC=C(C=C2)O,train
381,1624,CC1CC2C(CC3(C1CC(=O)OC3)C)C(=C)C(=O)O2,train
382,12873,CCC1CN(CCC1(C2=CC=CC=C2)OC(=O)CC)C,train
383,7126,CC1=C(C(CCC1)(C)C)C=O,train
384,3341,CCCCC(CCCC)C(C)CC,train
385,5271,CC1=C(C(=CC=C1)C)OCC(C)N,train
386,7840,CC(C)OC,train
387,5268,CC1=CC2=C(C=C1S(=O)(=O)N)S(=O)(=O)CCC2,train
388,5897,C1C=CCC2C1C(=O)OC2=O,train
389,14693,CC1=CC(=CC=C1)C(=O)C2=CC=CC=C2,train
390,1915,CC1=C2C=C(C3=CC=CC(=C3C2=CC=C1)C)C,train
391,8893,CCCCC#CC,train
392,4502,C(=O)(O)O,train
393,2473,C1CCC(CC1)NC(=O)CCC2=CC=C(O2)[N+](=O)[O-],train
394,8793,CN(C)C(=O)OC1=C2C=CSC2=CC=C1,train
395,14562,CC(C(=O)OC(C)C(=O)O)O,train
396,5890,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31,train
397,7892,COC(=O)C1=CC=CC=C1C(=O)C2=CC=CC=C2,train
398,663,CC1=C2C(=CC(=CC2=CC=C1)C)C,train
399,9569,C1=CC=C(C=C1)CN=C(N)N,train
400,10538,CCCCCC1(OCCO1)C,train
401,7513,CC(=O)OCCO,train
402,14516,CCCN(CCC)C1=CC=C(C=C1)C=O,train
403,4011,C=CCC1(C(=O)NC(=O)N(C1=O)CC(=O)N)CC=C,train
404,2054,CC(=O)NC1=CC=C(O1)C(=O)OC,train
405,1927,CC(C)CC1=NC(=NC(=N1)N)N,train
406,3183,CCN(CC)C(CCC(C)(C)C)C(=O)OCC,train
407,7472,C=CCN(CC=C)C#N,train
408,15548,CC1(NC2=CC=CC3=C2C(=CC=C3)N1)C,train
409,4308,C1=C(C=C(OC1=O)C(=O)O)C(=O)O,train
410,10704,CCN(CC)C(=S)SCC,train
411,6715,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2O,train
412,15149,CN1C2=C(C(=O)NC1=O)NC=N2,train
413,13591,CNC1CC2=CC=CC=C2N(C3=CC=CC=C13)C,train
414,6875,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)O,train
415,10588,CC(C(CO)O)O,train
416,14775,CC(=O)C1=C(C2=CC=CC=C2C=C1)O,train
417,9555,CC1=C(C(=O)C2=CC=CC=C2C1=O)C,train
418,1543,CCCC=CCCC=O,train
419,7254,CC(C(C1=CC=CC=C1)O)N,train
420,2930,C1CC(=O)C2CC=CCC2C1=O,train
421,8364,C1=C(OC(=C1)[N+](=O)[O-])C=O,train
422,4827,CCC(CC)C(=O)NC1=C(C=CC(=C1)C(=O)O)NC(=O)C,train
423,280,CCC1(CC(=O)N(C1=O)C)C,train
424,11034,CCC1(OCC(O1)CO)CC,train
425,1480,CC1=C(COC(C1)C(=O)OC)C,train
426,14556,CCOC1=CC(=C(C=C1)N)[N+](=O)[O-],train
427,8518,CCCN(C(=O)N)N=O,train
428,13940,C1=CC=C(C=C1)NCS(=O)(=O)O,train
429,1894,CC1CC(C(O1)C)O,train
430,14808,C1CC1N,train
431,1235,CCCC(=O)OC=C,train
432,9852,C#CC=C1CCCCC1,train
433,9728,CCCC=CCOC(=O)C,train
434,5013,CNC1=CC(=O)C2=C(C1=O)C=NC=C2,train
435,13092,CC=CC(=O)C1C(=CCCC1(C)C)C,train
436,978,CCOC(=O)C1C(O1)C,train
437,14471,CC1=CC(=O)C2=CC=CC=C2N1,train
438,10914,COC1=CC=C(C=C1)C(=NO)N,train
439,10300,CC1=CC(=CO1)C,train
440,10759,C1CN(CC2=CC=CC=C21)N,train
441,5500,C1C(=O)NC(=O)S1,train
442,14987,CC(=O)OC1CCCC1,train
443,1603,CC1=CC=C(C=C1)CNN,train
444,221,CC(=NN(C)C)C1=CC=CC=C1,train
445,519,C1C=CC(C=C1)CC(C(=O)O)N,train
446,14031,C[N+](C)(C)CC(C[N+](C)(C)C)O,train
447,9614,CC1=C(C=CC(=C1)OP(=O)(OC)OC)[N+](=O)[O-],train
448,12445,CC(=O)SCCNC(=O)CN,train
449,15694,CC(=O)NC1=CC(=C(C=C1)C(=O)O)[N+](=O)[O-],train
450,13926,CC(C)C1=CCC(=C)CC1,train
451,489,CCCCC(C)CCCC,train
452,1818,CC(=O)CCCCOC,train
453,9320,C1=CC(=CC=C1C=CC=O)[N+](=O)[O-],train
454,6847,CC1=CC2=NNN=C2C=C1,train
